"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"670",2020-07-28,56831,20.4,35.4,2.3,0,0,0,0,1
"671",2020-07-01,60085,19.4,30,0,0,0,0,0,1
"672",2020-07-31,49661,20.3,31.6,0,0,0,0,0,1
"673",2020-06-22,45875,17,25.9,2.8,0,0,0,0,1
"674",2020-05-30,30040,11.5,16.2,0,0,0,1,0,1
"675",2020-08-05,27130,14.7,19.4,3.8,0,0,0,0,1
"676",2020-11-19,20449,5.9,9.1,3.3,0,1,0,0,0
"677",2020-09-12,46379,17.3,26.9,0,0,0,1,0,1
"678",2020-10-25,18644,9.2,13.9,0,0,0,0,1,1
"679",2020-04-20,33477,7.3,16.2,0,1,0,0,0,0
"680",2020-10-22,40322,8.3,13.8,0,0,0,0,0,1
"681",2020-01-29,14896,3.5,6.6,1.1,0,0,0,0,0
"682",2020-07-15,57590,16.3,26,0,0,0,0,0,1
"683",2020-11-29,13636,2.2,4.5,0,0,1,0,1,0
"684",2020-03-05,26183,2.3,12.1,0,0,0,0,0,0
"685",2020-04-22,40823,8.1,18.2,0,1,0,0,0,0
"686",2020-08-17,37518,19.4,25.1,5.7,0,0,0,0,1
"687",2020-10-13,10374,7.1,8.9,27.2,0,0,0,0,1
"688",2020-01-22,17350,-0.9,4.1,0.1,0,0,0,0,0
"689",2020-07-04,48684,18.2,27,0,0,0,1,0,1
"690",2020-10-11,14102,8.6,12,15,0,0,0,1,1
"691",2020-04-17,40592,15.2,24.9,0,1,0,0,0,0
"692",2020-02-10,13133,3.2,12.4,4.2,0,0,0,0,0
"693",2020-11-25,18398,1.2,2.4,0,0,1,0,0,0
"694",2020-12-10,12264,1.9,5.1,14.1,0,0,0,0,0
